dataset,model,status,native_or_fallback,query_id,spectrum_id,true_candidate_id,adduct,candidate_count,ranked_rows,missing_candidate_spectra,true_rank,top1_correct,top5_correct,top10_correct,reciprocal_rank,elapsed_seconds,rank_output_file,source_file
CASMI2022,CFM-ID,completed_cached,native_cfmid_precomputed_full_supported_queries,0,0,CASMI_MOL_1196787,[M+H]+,1241,1241,0,1.0,True,True,True,1.0,0.0,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_0/cfmid_precomputed_ranked_0.txt,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/query_shard_0_5_results.csv
CASMI2022,CFM-ID,completed_cached,native_cfmid_precomputed_full_supported_queries,3,3,CASMI_MOL_1196790,[M+H]+,8524,8524,0,2.0,False,True,True,0.5,0.0,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_3/cfmid_precomputed_ranked_3.txt,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/query_shard_0_5_results.csv
CASMI2022,CFM-ID,completed_cached,native_cfmid_precomputed_full_supported_queries,4,4,CASMI_MOL_1196791,[M+H]+,7594,7594,0,13.0,False,False,False,0.0769230769230769,0.0,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_4/cfmid_precomputed_ranked_4.txt,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/query_shard_0_5_results.csv
CASMI2022,CFM-ID,completed_cached,native_cfmid_precomputed_full_supported_queries,5,5,CASMI_MOL_1196792,[M+H]+,1074,1074,0,5.0,False,True,True,0.2,0.0,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_5/cfmid_precomputed_ranked_5.txt,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/query_shard_0_5_results.csv
CASMI2022,CFM-ID,completed_cached,native_cfmid_precomputed_full_supported_queries,6,6,CASMI_MOL_1196793,[M+H]+,1524,1524,0,782.0,False,False,False,0.0012787723785166,0.0,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_6/cfmid_precomputed_ranked_6.txt,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/query_shard_0_5_results.csv
CASMI2022,CFM-ID,completed_cached,native_cfmid_precomputed_full_supported_queries,7,7,CASMI_MOL_1196794,[M+H]+,7016,7016,0,110.0,False,False,False,0.009090909090909,0.0,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_7/cfmid_precomputed_ranked_7.txt,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/query_shard_5_5_results.csv
CASMI2022,CFM-ID,completed_cached,native_cfmid_precomputed_full_supported_queries,9,9,CASMI_MOL_1196796,[M+H]+,8632,8632,0,98.0,False,False,False,0.010204081632653,0.0,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_9/cfmid_precomputed_ranked_9.txt,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/query_shard_5_5_results.csv
CASMI2022,CFM-ID,completed_cached,native_cfmid_precomputed_full_supported_queries,10,10,CASMI_MOL_1196797,[M+H]+,2797,2797,0,2016.0,False,False,False,0.0004960317460317,0.0,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_10/cfmid_precomputed_ranked_10.txt,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/query_shard_5_5_results.csv
CASMI2022,CFM-ID,completed_cached,native_cfmid_precomputed_full_supported_queries,11,11,CASMI_MOL_1196798,[M+H]+,6368,6368,0,7.0,False,False,True,0.1428571428571428,0.0,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_11/cfmid_precomputed_ranked_11.txt,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/query_shard_5_5_results.csv
CASMI2022,CFM-ID,completed_cached,native_cfmid_precomputed_full_supported_queries,12,12,CASMI_MOL_1196799,[M+H]+,9462,9462,0,267.0,False,False,False,0.0037453183520599,0.0,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_12/cfmid_precomputed_ranked_12.txt,/home/zhome/fragannotor_remote/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/query_shard_5_5_results.csv
