supported_index,query_id,query_mol_id,adduct,precursor_mz,candidate_count,status,completed,ranked_rows,missing_candidate_spectra,true_rank,rank_output_file
0,0,1196787,[M+H]+,719.253866983956,1241,blocked_missing_candidate_spectra,False,0.0,1231.0,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_0/cfmid_precomputed_ranked_0.txt
1,3,1196790,[M+H]+,336.173416402974,8524,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_3/cfmid_precomputed_ranked_3.txt
2,4,1196791,[M+H]+,472.208379934413,7594,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_4/cfmid_precomputed_ranked_4.txt
3,5,1196792,[M+H]+,657.311672306106,1074,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_5/cfmid_precomputed_ranked_5.txt
4,6,1196793,[M+H]+,519.33115928565,1524,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_6/cfmid_precomputed_ranked_6.txt
5,7,1196794,[M+H]+,233.116974574285,7016,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_7/cfmid_precomputed_ranked_7.txt
6,9,1196796,[M+H]+,347.12743382156,8632,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_9/cfmid_precomputed_ranked_9.txt
7,10,1196797,[M+H]+,454.07482453927,2797,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_10/cfmid_precomputed_ranked_10.txt
8,11,1196798,[M+H]+,489.226761835099,6368,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_11/cfmid_precomputed_ranked_11.txt
9,12,1196799,[M+H]+,192.138122780028,9462,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_12/cfmid_precomputed_ranked_12.txt
10,15,1196802,[M+H]+,505.221679905913,4775,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_15/cfmid_precomputed_ranked_15.txt
12,17,1196804,[M+H]+,251.163916083717,9564,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_17/cfmid_precomputed_ranked_17.txt
13,18,1196806,[M+H]+,199.096388145119,6548,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_18/cfmid_precomputed_ranked_18.txt
14,21,1196809,[M+H]+,419.096457918953,5615,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_21/cfmid_precomputed_ranked_21.txt
15,22,1196810,[M+H]+,235.09602715843,6294,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_22/cfmid_precomputed_ranked_22.txt
16,23,1196811,[M+H]+,305.24715503306,5745,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_23/cfmid_precomputed_ranked_23.txt
17,24,1196813,[M+H]+,251.081286729391,5015,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_24/cfmid_precomputed_ranked_24.txt
18,25,1196814,[M+H]+,256.190347458289,9778,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_25/cfmid_precomputed_ranked_25.txt
19,26,1196815,[M+H]+,287.113248407357,8521,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_26/cfmid_precomputed_ranked_26.txt
20,27,1196816,[M+H]+,564.248474121094,3327,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_27/cfmid_precomputed_ranked_27.txt
21,29,1196818,[M+H]+,442.152698645402,8062,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_29/cfmid_precomputed_ranked_29.txt
22,31,1196820,[M+H]+,268.169176279556,9668,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_31/cfmid_precomputed_ranked_31.txt
25,37,1196826,[M+H]+,335.220961257905,8957,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_37/cfmid_precomputed_ranked_37.txt
26,38,1196827,[M+H]+,267.158658505007,9532,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_38/cfmid_precomputed_ranked_38.txt
28,40,1196830,[M+H]+,457.20099752921,7695,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_40/cfmid_precomputed_ranked_40.txt
29,41,1196831,[M+H]+,484.216078579256,5158,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_41/cfmid_precomputed_ranked_41.txt
30,42,1196832,[M+H]+,395.232386610341,9484,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_42/cfmid_precomputed_ranked_42.txt
31,43,1196833,[M+H]+,333.205381675245,8937,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_43/cfmid_precomputed_ranked_43.txt
33,48,1196839,[M+H]+,429.226698960775,9066,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_48/cfmid_precomputed_ranked_48.txt
34,50,1196841,[M+H]+,173.047241210938,1506,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_50/cfmid_precomputed_ranked_50.txt
35,51,1196842,[M+H]+,739.243161879911,558,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_51/cfmid_precomputed_ranked_51.txt
37,54,1196845,[M+H]+,212.081565615679,6814,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_54/cfmid_precomputed_ranked_54.txt
38,55,1196846,[M+H]+,349.200553291463,9288,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_55/cfmid_precomputed_ranked_55.txt
39,56,1196828,[M+H]+,267.158989552775,9532,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_56/cfmid_precomputed_ranked_56.txt
40,58,1196849,[M+H]+,127.075180638479,2999,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_58/cfmid_precomputed_ranked_58.txt
41,59,1196850,[M+H]+,228.231926090935,9219,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_59/cfmid_precomputed_ranked_59.txt
42,60,1196851,[M+H]+,319.226352058803,7090,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_60/cfmid_precomputed_ranked_60.txt
43,61,1196853,[M+H]+,485.216505310484,8027,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_61/cfmid_precomputed_ranked_61.txt
44,64,1196856,[M+H]+,705.237865088362,817,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_64/cfmid_precomputed_ranked_64.txt
45,65,1196857,[M+H]+,249.148315429688,9590,pending_candidate_spectra,False,,,,/home/zhome/ec_structure/github_export/FragAnnotor/results/casmi2022_cfmid_native_precomputed_full_v1/work/query_65/cfmid_precomputed_ranked_65.txt
